Column,Name,Level,Rename
Give Math HW,Everyday,4,Everyday
Give Math HW,Never,1,Never
Give Scie HW,1or2 times a week,2,1-2 times a week
Give Scie HW,3or4 times a week,3,3-4 times a week
Give Scie HW,Everyday,4,Everyday
Give Scie HW,Never,1,Never
Give SoSc HW,1or2 times a week,2,1-2 times a week
Give SoSc HW,3or4 times a week,3,3-4 times a week
Give SoSc HW,Everyday,4,Everyday
Give SoSc HW,Never,1,Never
Correct Lang HW,1 or2 times a week,2,1-2 times a week
Correct Lang HW,3 or4 times a week,3,3-4 times a week
Correct Lang HW,Everyday,4,Everyday
Correct Lang HW,Never,1,Never
Correct Math HW,1 or2 times a week,2,1-2 times a week
Correct Math HW,3 or4 times a week,3,3-4 times a week
Correct Math HW,Everyday,4,Everyday
Correct Math HW,Never,1,Never
Correct Scie HW,1 or2 times a week,2,1-2 times a week
Correct Scie HW,3 or4 times a week,3,3-4 times a week
Correct Scie HW,Everyday,4,Everyday
Correct Scie HW,Never,1,Never
Correct SocS HW,1 or2 times a week,2,1-2 times a week
Correct SocS HW,3 or4 times a week,3,3-4 times a week
Correct SocS HW,Everyday,4,Everyday
Correct SocS HW,Never,1,Never
Help in Study,No,1,No
Help in Study,Yes,2,Yes
Private tuition,No,1,No
Private tuition,Yes,2,Yes
English is difficult,Agree,3,Agree
English is difficult,Disagree,1,Disagree
English is difficult,Neither agree or disagree,2,Neither
Read English,Agree,3,Agree
Read English,Disagree,1,Disagree
Read English,Neither agree or disagree,2,Neither
Dictionary to learn,Agree,3,Agree
Dictionary to learn,Disagree,1,Disagree
Dictionary to learn,Neither agree or disagree,2,Neither
Answer English WB,Agree,3,Agree
Answer English WB,Disagree,1,Disagree
Answer English WB,Neither agree or disagree,2,Neither
Answer English aloud,Agree,3,Agree
Answer English aloud,Disagree,1,Disagree
Answer English aloud,Neither agree or disagree,2,Neither
Maths is difficult,Agree,3,Agree
Maths is difficult,Disagree,1,Disagree
Maths is difficult,Neither agree or disagree,2,Neither
Solve Maths,Agree,3,Agree
Solve Maths,Disagree,1,Disagree
Solve Maths,Neither agree or disagree,2,Neither
Solve Maths in groups,Agree,3,Agree
Solve Maths in groups,Disagree,1,Disagree
Solve Maths in groups,Neither agree or disagree,2,Neither
Draw geometry,Agree,3,Agree
Draw geometry,Disagree,1,Disagree
Draw geometry,Neither agree or disagree,2,Neither
Explain answers,Agree,3,Agree
Explain answers,Disagree,1,Disagree
Explain answers,Neither agree or disagree,2,Neither
SocSci is difficult,Agree,3,Agree
SocSci is difficult,Disagree,1,Disagree
SocSci is difficult,Neither agree or disagree,2,Neither
Historical excursions,Agree,3,Agree
Historical excursions,Disagree,1,Disagree
Historical excursions,Neither agree or disagree,2,Neither
Participate in SocSci,Agree,3,Agree
Participate in SocSci,Disagree,1,Disagree
Participate in SocSci,Neither agree or disagree,2,Neither
Small groups in SocSci,Agree,3,Agree
Small groups in SocSci,Disagree,1,Disagree
Small groups in SocSci,Neither agree or disagree,2,Neither
Express SocSci views,Agree,3,Agree
Express SocSci views,Disagree,1,Disagree
Express SocSci views,Neither agree or disagree,2,Neither
Science is difficult,Agree,3,Agree
Science is difficult,Disagree,1,Disagree
Science is difficult,Neither agree or disagree,2,Neither
Observe experiments,Agree,3,Agree
Observe experiments,Disagree,1,Disagree
Observe experiments,Neither agree or disagree,2,Neither
Conduct experiments,Agree,3,Agree
Conduct experiments,Disagree,1,Disagree
Conduct experiments,Neither agree or disagree,2,Neither
Solve science problems,Agree,3,Agree
Solve science problems,Disagree,1,Disagree
Solve science problems,Neither agree or disagree,2,Neither
Express science views,Agree,3,Agree
Express science views,Disagree,1,Disagree
Express science views,Neither agree or disagree,2,Neither
Watch TV,Every day,4,Every day
Watch TV,Never,1,Never
Watch TV,Once a month,2,Once a month
Watch TV,Once a week,3,Once a week
Read magazine,Every day,4,Every day
Read magazine,Never,1,Never
Read magazine,Once a month,2,Once a month
Read magazine,Once a week,3,Once a week
Read a book,Every day,4,Every day
Read a book,Never,1,Never
Read a book,Once a month,2,Once a month
Read a book,Once a week,3,Once a week
Play games,Every day,4,Every day
Play games,Never,1,Never
Play games,Once a month,2,Once a month
Play games,Once a week,3,Once a week
Help in household,Every day,4,Every day
Help in household,Never,1,Never
Help in household,Once a month,2,Once a month
Help in household,Once a week,3,Once a week
State,AN,AN,Andaman & Nicobar
State,AP,AP,Andhra Pradesh
State,AR,AR,Arunachal Pradesh
State,BR,BR,Bihar
State,CG,CG,Chattisgarh
State,CH,CH,Chandigarh
State,DD,DD,Daman & Diu
State,DL,DL,Delhi
State,DN,DN,Dadra & Nagar Haveli
State,GA,GA,Goa
State,GJ,GJ,Gujarat
State,HP,HP,Himachal Pradesh
State,HR,HR,Haryana
State,JH,JH,Jharkhand
State,JK,JK,Jammu & Kashmir
State,KA,KA,Karnataka
State,KL,KL,Kerala
State,MG,MG,Meghalaya
State,MH,MH,Maharashtra
State,MN,MN,Manipur
State,MP,MP,Madhya Pradesh
State,MZ,MZ,Mizoram
State,NG,NG,Nagaland
State,OR,OR,Orissa
State,PB,PB,Punjab
State,PY,PY,Pondicherry
State,RJ,RJ,Rajasthan
State,SK,SK,Sikkim
State,TN,TN,Tamil Nadu
State,TR,TR,Tripura
State,UK,UK,Uttarakhand
State,UP,UP,Uttar Pradesh
State,WB,WB,West Bengal
